id,component,louvain_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core,label
take,1,6,12,1.4258018173235738,0.01929445421384693,0.002724821986463546,0.019294454213846905,0.019294454213846905,7,take
hate,1,2,11,1.3438535313276692,0.09007109848616983,0.002395765662580068,0.09007109848616969,0.09007109848616969,8,hate
class,1,2,9,1.2456328587430667,0.13395047799818366,0.002030943352934752,0.1339504779981837,0.1339504779981837,8,class
treatment,1,6,6,0.6911216161584637,0.01622603472160292,0.0019515168005605679,0.0162260347216029,0.0162260347216029,4,treatment
poor,1,4,23,2.9225968253003796,0.0963603975743616,0.00448637655395241,0.09636039757436163,0.09636039757436163,11,poor
forget,1,2,10,1.2791869828903057,0.02371817863669426,0.0026186733961267,0.02371817863669424,0.02371817863669424,6,forget
happy,1,2,5,0.6048479414477732,0.017043336489292557,0.0015175388235119565,0.017043336489292547,0.017043336489292547,4,happy
mind,1,1,18,2.072868043977912,0.07776483556552859,0.0033754828165152738,0.07776483556552863,0.07776483556552863,10,mind
boy,1,6,15,1.7728711116088531,0.09538705238362129,0.0028111783953355183,0.09538705238362134,0.09538705238362134,11,boy
woman,1,7,3,0.34654173676422095,0.0028507326410667877,0.0011398860741993792,0.0028507326410667777,0.0028507326410667777,3,woman
share,1,2,3,0.3886156585781215,0.02658123434324794,0.0010726153297224603,0.026581234343247932,0.026581234343247932,3,share
hospital,1,5,4,0.5164154843106591,4.6334553881775397e-4,0.0017271376638855974,4.6334553881773657e-4,4.6334553881773657e-4,3,hospital
wrong,1,1,9,1.0378537280602564,0.020271306262354936,0.0021153253347810743,0.02027130626235491,0.02027130626235491,7,wrong
walk,1,6,5,0.5825409774267031,0.007823404077388388,0.0015924756474823942,0.007823404077388404,0.007823404077388404,4,walk
person,1,2,15,1.763970534102065,0.08240791220067942,0.0030672389151051994,0.08240791220067932,0.08240791220067932,8,person
head,1,7,2,0.25030333017111456,0.0010308558930551134,9.973189890973067e-4,0.0010308558930551093,0.0010308558930551093,2,head
world,1,2,16,1.867694929217616,0.10366294750883787,0.00293354431690674,0.10366294750883778,0.10366294750883778,10,world
human,1,2,13,1.578014686769579,0.14055309200072397,0.002622953223361451,0.14055309200072388,0.14055309200072388,9,human
health,1,5,6,0.667637288385847,0.008251010836665712,0.0016580922832271788,0.008251010836665719,0.008251010836665719,4,health
alike,1,1,2,0.2589184952505025,0.013324235943336864,0.0010497124538399645,0.013324235943336869,0.013324235943336869,2,alike
reason,1,5,6,0.6946643186681107,0.00885333420376863,0.0014881943464435893,0.008853334203768621,0.008853334203768621,5,reason
test,1,6,8,0.9647329056591023,0.01989163762565887,0.001920189876628567,0.019891637625658872,0.019891637625658872,7,test
social,1,3,7,0.8028276462346008,0.02345912397564691,0.001993441742038652,0.02345912397564689,0.02345912397564689,6,social
call,1,3,17,2.03607533467487,0.09639532437772784,0.003749669588701564,0.09639532437772781,0.09639532437772781,10,call
