source,target,weight
infantry,walk,0.11123225208445052
head,matter,0.11123225208445052
human,washington,0.1112019387017551
human,oversea,0.1112019387017551
furlough,sundai,0.11106814927068909
close,comment,0.1110075515565038
sleep,leave,0.11099725239986956
fall,real,0.11098781071923565
health,short,0.11098781071923565
care,bad,0.11098093195631592
alike,soon,0.11093614380691627
east,commissioned,0.11090097317216512
rank,troop,0.11090058066157354
send,mile,0.11090056643420079
matter,unfair,0.11078295233570101
army,build,0.11076839959209188
complete,hold,0.11076704495939323
front,enlist,0.11076704495939323
bus,soldier,0.11075628843481039
fight,protect,0.11072590227128913
white,sit,0.11056735401276886
army,draft,0.11055828712020618
equal,enjoy,0.110410923725277
black-man,police,0.11040887873100977
discrimination,stop,0.11034538399858028
people,realize,0.11033868963469812
reason,heart,0.1103339927758798
station,close,0.11032856552053882
live,unit,0.11030924697309695
night,stay,0.11024719624751843
unit,protect,0.11024465337205358
social,power,0.1101358795637017
sgt,foot,0.1101358795637017
true,build,0.11012961512910997
hope,god,0.11007681866634497
town,night,0.11007556171086325
hate,person,0.11004785454148988
south,stop,0.11002908309022878
call,act,0.10998212842179267
camp,treatment,0.10995611680091906
white,democracy,0.1099281978285503
color,unit,0.10991178587357975
victory,unit,0.10988660608310721
furlough,time,0.10982936902090769
take,condition,0.10978357507866768
town,home,0.1097182405659945
black-man,dog,0.10970569732801778
day,stop,0.10962488334062089
ride,call,0.10961603982493041
uniform,expect,0.10961460803519853
child,past,0.10960529058565027
pull,hand,0.10960529058565027
foot,help,0.10960529058565027
fight,stop,0.10952909135665463
hospital,hear,0.10952785965792881
credit,wrong,0.10952785965792881
transport,improve,0.10949665921305551
white,realize,0.10944640210524506
train,oversea,0.10942228525081353
protect,build,0.10938505544951165
negro,realize,0.10937336113045804
white,start,0.10933756771441659
camp,night,0.10920673459835589
white,bad,0.1091830003658261
start,front,0.10917807793153278
start,law,0.10917807793153278
