id,label,component,louvain_comm,fstgrdy_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core
morale,morale,1,7,4,9,1.0863784100436544,0.15254950700575826,0.005074547481377572,0.1525495070057583,0.1525495070057583,6
satisfy,satisfy,1,4,1,7,0.8843960834041501,0.20714424785660918,0.004026114429234091,0.2071442478566094,0.2071442478566094,6
serve,serve,1,6,3,7,0.8019796558986572,0.09453153134129232,0.0039511583060597875,0.09453153134129237,0.09453153134129237,6
lot,lot,1,5,2,8,0.9186148290365395,0.20093528002823538,0.004294829863517545,0.2009352800282357,0.2009352800282357,6
separate,separate,1,1,6,7,1.2841082316064747,0.1919265457422241,0.005108209181128767,0.1919265457422242,0.1919265457422242,6
complete,complete,1,5,2,2,0.4047739997791704,0.029075209668885747,0.002593121794202304,0.029075209668885767,0.029075209668885767,2
trouble,trouble,1,2,6,5,0.6284052532264586,0.06771591822644936,0.003200514963283979,0.06771591822644936,0.06771591822644936,5
idea,idea,1,8,1,3,0.42019835462373367,0.04718963740934856,0.003151883113395735,0.04718963740934858,0.04718963740934858,2
live,live,1,1,6,14,1.7796366865175393,0.25764041473592997,0.007370042872284622,0.25764041473593025,0.25764041473593025,7
age,age,1,5,2,6,0.7101314661836231,0.16182490579556122,0.0034956340418666695,0.16182490579556133,0.16182490579556133,6
feel,feel,1,4,1,10,1.2494902120700364,0.2802737108257627,0.005402145916966656,0.28027371082576286,0.28027371082576286,7
stay,stay,1,4,1,1,0.1482704020429655,0.06951226715552017,0.0014471747141825838,0.06951226715552031,0.06951226715552031,1
enter,enter,1,4,1,10,1.2769197175766993,0.25567227679145993,0.0055128339594407785,0.25567227679146,0.25567227679146,7
poor,poor,1,3,3,12,1.4774052352858302,0.14896916392928597,0.006650438031973723,0.1489691639292859,0.1489691639292859,6
call,call,1,3,3,9,1.051960249683304,0.09895664643742863,0.005267002226063523,0.0989566464374287,0.0989566464374287,6
post,post,1,7,4,5,0.6301589828637416,0.0640248715099777,0.003361288116128285,0.06402487150997767,0.06402487150997767,5
half,half,1,5,2,9,1.0702658212986285,0.13128293533965382,0.004975249165512716,0.13128293533965388,0.13128293533965388,6
reason,reason,1,6,5,4,0.4525183148779846,0.03890140790780596,0.0027286293705249113,0.03890140790780595,0.03890140790780595,4
pretty,pretty,1,1,3,9,0.9985550199818417,0.08037629559280485,0.004747427082689732,0.08037629559280474,0.08037629559280474,6
farm,farm,1,5,2,3,0.35522724075523804,0.047703964962589156,0.002419551702943942,0.04770396496258913,0.04770396496258913,3
type,type,1,6,5,8,0.9789604246001156,0.12019883173604293,0.004658450965439867,0.12019883173604307,0.12019883173604307,6
boy,boy,1,7,4,8,0.9146937536156041,0.10671494574181865,0.004289430059153739,0.10671494574181864,0.10671494574181864,6
leave,leave,1,3,3,4,0.4511070874526981,0.026852183799135766,0.0028746661161001543,0.026852183799135648,0.026852183799135648,4
deal,deal,1,5,2,7,0.8254165546978804,0.1300631666578223,0.004162410151740179,0.1300631666578224,0.1300631666578224,6
major,major,1,3,1,4,0.4548157743480771,0.07567793185951888,0.002656004377571251,0.07567793185951892,0.07567793185951892,4
fellow,fellow,1,7,1,7,0.8087695034874227,0.13201758472176714,0.004031085604050395,0.1320175847217671,0.1320175847217671,5
individu,individu,1,6,5,2,0.2205799228216398,0.014923616154937147,0.00192115213702625,0.014923616154937144,0.014923616154937144,2
not,not,1,5,2,3,0.3269993884483037,0.03717569543911667,0.0022386655780780185,0.03717569543911663,0.03717569543911663,3
cooperate,cooperate,1,3,3,2,0.22371776849857797,0.03726228645948292,0.0017951349123681995,0.03726228645948295,0.03726228645948295,2
talk,talk,1,6,5,1,0.11098631281997703,0.00955458329231268,0.0014445156720680427,0.009554583292312669,0.009554583292312669,1
hell,hell,1,7,4,1,0.10599284979701756,0.0018777013903580274,0.001874871134880569,0.001877701390358009,0.001877701390358009,1
